Lat,-180,-178,-176,-174,-172,-170,-168,-166,-164,-162,-160,-158,-156,-154,-152,-150,-148,-146,-144,-142,-140,-138,-136,-134,-132,-130,-128,-126,-124,-122,-120,-118,-116,-114,-112,-110,-108,-106,-104,-102,-100,-98,-96,-94,-92,-90,-88,-86,-84,-82,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,20,30,30,20,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,30,20,20,20,10,10,10,10,0,0,0,0,0,0,0,0,10,30,40,40,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,110,70,40,80,210,130,130,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,380,360,510,300,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,40,30,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,230,330,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,170,290,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,40,80,90,60,70,70,20,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,500,560,340,170,70,0,0,0,0,0,0,0,0,0,0,40,70,90,100,110,110,120,180,210,220,220,210,160,170,0,0,0,0,0,0,0,0,0,0,90,360,1180,1060,910,290,70,110,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,380,880,0,0,0,0,0,0,0,0,0,10,3010,10,0,0,0,0,0,0,0,0,0,0,0,0,20,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,360,770,250,0,0,0,0,0,330,750,180,220,150,160,60,140,220,810,1380,1390,350,190,230,250,250,250,240,200,180,470,610,640,580,450,400,520,740,660,370,0,0,0,10,140,1110,1220,470,140,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,630,60,0,0,0,0,0,0,0,40,100,4750,130,100,40,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,90,2900,80,0,0,0,0,0,0,0,0,0,0,10,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,3350,18350,7690,4930,9860,4900,0,0,0,0,0,0,0,0,0,60,370,610,140,110,0,0,0,450,1370,1380,560,1380,1340,1430,590,320,490,1030,2310,2860,2070,280,280,280,280,280,280,280,270,230,250,410,160,160,430,950,980,950,820,470,1790,1870,1870,1950,2190,940,570,560,550,400,650,860,910,670,20,0,0,0,0,100,0,0,0,330,0
68,880,170,0,0,0,0,10,160,360,420,410,370,300,290,240,70,60,100,100,70,50,20,690,4030,0,0,0,80,180,0,0,0,0,0,0,0,0,1430,0,0,0,0,930,680,0,520,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,30,4630,6330,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11070,44650,69820,91090,21820,17290,9920,8010,33480,41930,442370,37700,30010,530,0,20,270,30,300,220,360,230,360,470,850,1130,15400,740,1280,1540,760,2100,2520,1660,1330,1200,2420,3030,279380,2840,1460,290,240,230,230,240,240,210,180,170,170,170,170,220,650,790,780,850,820,780,1090,2290,2400,2670,2480,1170,1020,970,990,1010,1310,1430,1590,1760,1420,1510,1450,2610,3790,4460,4850,2150,1940,1520,0
66,2410,2850,1830,1370,810,30,50,500,790,1260,1440,1230,870,220,220,230,250,250,250,160,340,70,870,150,0,610,30,40,0,0,0,0,1270,0,0,20,50,0,0,0,0,0,0,0,0,0,470,150,0,0,0,0,0,0,0,0,0,1420,480,0,0,0,0,5620,280,30,0,0,0,0,0,10,0,0,0,0,0,0,3660,150,2890,2700,510,0,0,0,0,0,0,0,0,0,0,0,0,120,27950,85410,11830,12130,35310,50840,82640,29320,31050,77620,155380,25720,5240,5340,2190,1450,1540,640,1500,3150,5300,27020,53290,14680,21540,98060,82810,51180,1700,1750,1600,3660,79910,3740,1750,1700,7650,15220,2760,1260,260,230,240,240,240,240,240,1400,1590,1680,1190,190,200,2840,1310,530,570,790,950,520,1460,2470,2450,2210,1030,910,1010,1000,1670,1610,1320,1290,1280,1870,1970,1970,1970,1980,2500,2930,1470,1400,1890,2380,0
64,490,860,2720,2880,490,10,890,4700,1350,1510,970,810,260,240,470,6130,73630,6310,780,500,1340,80,80,70,10,0,760,420,580,0,0,250,130,0,0,0,0,0,0,0,0,970,570,0,0,0,0,0,740,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,3790,14160,40,0,0,0,0,0,2920,0,0,0,0,0,320,23190,160890,25440,2650,8370,2470,0,0,0,0,0,0,0,0,0,0,90,45020,49080,22120,16380,51740,182770,58650,312220,81930,46520,40140,19780,28280,5190,197010,371300,18190,12430,8670,9080,12130,43710,22570,74600,18690,21760,6570,3770,2860,2410,3920,41770,5330,7400,6670,1320,1270,1620,1960,1460,640,260,260,260,260,260,260,360,3530,4820,4990,2930,3450,5540,8420,5790,3370,2420,2460,2930,2660,2650,2570,2550,2800,3780,3100,1710,1580,4340,3350,2160,2280,2750,1600,1580,1610,1420,1110,1240,1250,1220,1200,12550,1430,0
